id,city_name,country
city_1	,	الأحمدي	,	الكويت
city_2	,	حولي	,	الكويت
city_3	,	صباح السالم	,	الكويت
city_4	,	الفراونية	,	الكويت
city_5	,	مدينة الكويت	,	الكويت
city_6	,	الرميثية	,	الكويت
city_7	,	الرقة	,	الكويت
city_8	,	سلوى	,	الكويت
city_9	,	المنقف	,	الكويت
city_10	,	الرابية	,	الكويت
city_11	,	بيان	,	الكويت
city_12	,	الجهراء	,	الكويت
city_13	,	الفنطاس	,	الكويت
city_14	,	جنوب السرة	,	الكويت
city_15	,	المهبولة	,	الكويت
city_16	,	الدسمة	,	الكويت
city_17	,	الشامية	,	الكويت
city_18	,	الشامية	,	الكويت
city_19	,	الدوحة الجديدة	,	قطر
city_20	,	أبو الظلوف	,	قطر
city_21	,	أبو ثابلة	,	قطر
city_22	,	الدوحة الجديدة	,	قطر
city_23	,	العريش	,	قطر
city_24	,	البدع الشرقية	,	قطر
city_25	,	الغنيم	,	قطر
city_26	,	الغارية	,	قطر
city_27	,	الهلال الغربية	,	قطر
city_28	,	الهلال الشرقية	,	قطر
city_29	,	الهتمي	,	قطر
city_30	,	الجسرة	,	قطر
city_31	,	الجميلية	,	قطر
city_32	,	الكعبان	,	قطر
city_33	,	الخليفة	,	قطر
city_34	,	الخور	,	قطر
city_35	,	الذخيرة	,	قطر
city_36	,	الخاور	,	قطر
city_37	,	الداخلية	,	عمان
city_38	,	الظاهرة	,	عمان
city_39	,	الباطنة	,	عمان
city_40	,	البريمي	,	عمان
city_41	,	الوسطي	,	عمان
city_42	,	الشرقية	,	عمان
city_43	,	ظفار	,	عمان
city_44	,	مسقط	,	عمان
city_45	,	مسندم	,	عمان
city_46	,	القاهرة	,	مصر
city_47	,	الجيزة	,	مصر
city_48	,	الفيوم	,	مصر
city_49	,	بني سويف	,	مصر
city_50	,	المنيا	,	مصر
city_51	,	أسيوط	,	مصر
city_52	,	الوادي الجديد	,	مصر
city_53	,	البحر الأحمر	,	مصر
city_54	,	سوهاج	,	مصر
city_55	,	قنا	,	مصر
city_56	,	الأقصر	,	مصر
city_57	,	أسوان	,	مصر
city_58	,	القليوبية	,	مصر
city_59	,	الإسكندرية	,	مصر
city_60	,	البحيرة	,	مصر
city_61	,	مطروح	,	مصر
city_62	,	دمياط	,	مصر
city_63	,	الدقهلية	,	مصر
city_64	,	الرياض	,	السعودية
city_65	,	مكة المكرمة	,	السعودية
city_66	,	المدينة المنورة	,	السعودية
city_67	,	القصيم	,	السعودية
city_68	,	الشرقية	,	السعودية
city_69	,	عسير	,	السعودية
city_70	,	تبوك	,	السعودية
city_71	,	حائل	,	السعودية
city_72	,	الحدود الشمالية	,	السعودية
city_73	,	جازان	,	السعودية
city_74	,	نجران	,	السعودية
city_75	,	الباحة	,	السعودية
city_76	,	الجوف	,	السعودية
city_77	,	جدة	,	السعودية
city_78	,	إريد	,	الأردن
city_79	,	البلقاء	,	الأردن
city_80	,	جرش	,	الأردن
city_81	,	الزرقاء	,	الأردن
city_82	,	الطفيلة	,	الأردن
city_83	,	عجلون	,	الأردن
city_84	,	العقبة	,	الأردن
city_85	,	عمان	,	الأردن
city_86	,	الكرنك	,	الأردن
city_87	,	مادبا	,	الأردن
city_88	,	معان	,	الأردن
city_89	,	المفرق	,	الأردن
city_90	,	أربيل	,	العراق
city_91	,	الأنبار	,	العراق
city_92	,	بابل	,	العراق
city_93	,	بغداد	,	العراق
city_94	,	البصيرة	,	العراق
city_95	,	حلبجة	,	العراق
city_96	,	دهوك	,	العراق
city_97	,	القادسية	,	العراق
city_98	,	ديالي	,	العراق
city_99	,	ذي قار	,	العراق
city_100	,	السليمانية	,	العراق
city_101	,	صلاح الدين	,	العراق
city_102	,	كركوك	,	العراق
city_103	,	كربلاء	,	العراق
city_104	,	المثني	,	العراق
city_105	,	ميسان	,	العراق
city_106	,	النجف	,	العراق
city_107	,	نينوي	,	العراق
city_108	,	عمران	,	اليمن
city_109	,	البيضاء	,	اليمن
city_110	,	الحديدة	,	اليمن
city_111	,	الجوف	,	اليمن
city_112	,	المحويت	,	اليمن
city_113	,	أمانة العاصمة	,	اليمن
city_114	,	ذمار	,	اليمن
city_115	,	حجة	,	اليمن
city_116	,	إب	,	اليمن
city_117	,	مأرب	,	اليمن
city_118	,	ريمة	,	اليمن
city_119	,	صعدة	,	اليمن
city_120	,	صنعاء	,	اليمن
city_121	,	تعز	,	اليمن
city_122	,	عدن	,	اليمن
city_123	,	أبين	,	اليمن
city_124	,	الضالع	,	اليمن
city_125	,	المهرة	,	اليمن
city_126	,	الخرطوم	,	السودان
city_127	,	الجزيرة	,	السودان
city_128	,	البحر الأحمر	,	السودان
city_129	,	كسلا	,	السودان
city_130	,	القضارف	,	السودان
city_131	,	سنار	,	السودان
city_132	,	النيل الأبيض	,	السودان
city_133	,	النيل الأزرق	,	السودان
city_134	,	الشمالبة	,	السودان
city_135	,	نهر النيل	,	السودان
city_136	,	كردفان	,	السودان
city_137	,	دارفور	,	السودان
city_138	,	طرابلس	,	ليبيا
city_139	,	بنغازي	,	ليبيا
city_140	,	مصراته	,	ليبيا
city_141	,	الزاوية	,	ليبيا
city_142	,	زليتن	,	ليبيا
city_143	,	البيضاء	,	ليبيا
city_144	,	اجدابيا	,	ليبيا
city_145	,	غريان	,	ليبيا
city_146	,	طبرق	,	ليبيا
city_147	,	صبراته	,	ليبيا
city_148	,	سبها	,	ليبيا
city_149	,	الخمس	,	ليبيا
city_150	,	المرج	,	ليبيا
city_151	,	زوارة	,	ليبيا
city_152	,	سرت	,	ليبيا
city_153	,	العزيزية	,	ليبيا
city_154	,	ترهونة	,	ليبيا
city_155	,	درنة	,	ليبيا
city_156	,	دبي	,	الإمارات
city_157	,	أبوظبي	,	الإمارات
city_158	,	الشارقة	,	الإمارات
city_159	,	عجمان	,	الإمارات
city_160	,	رأس الخيمة	,	الإمارات
city_161	,	الفجيرة	,	الإمارات
city_162	,	أم القيوين	,	الإمارات
city_163	,	نيو ثاوث ويلز	,	استراليا
city_164	,	كوينزلاند	,	استراليا
city_165	,	جنوب أستراليا	,	استراليا
city_166	,	تازمانيا	,	استراليا
city_167	,	فيكتوريا	,	استراليا
city_168	,	أستراليا الغربية	,	استراليا
city_169	,	إقليم شمالي	,	استراليا
city_170	,	مقاطعة العاصمة الأسترالية	,	استراليا
city_171	,	القدس	,	فلسطين
city_172	,	بيت لحم	,	فلسطين
city_173	,	الخليل	,	فلسطين
city_174	,	رام الله والبيرة	,	فلسطين
city_175	,	نابلس	,	فلسطين
city_176	,	سلفيت	,	فلسطين
city_177	,	قلقيلية	,	فلسطين
city_178	,	طولكرم	,	فلسطين
city_179	,	طوباس	,	فلسطين
city_180	,	جنين	,	فلسطين
city_181	,	أريحا	,	فلسطين
city_182	,	شمال غزة	,	فلسطين
city_183	,	غزة	,	فلسطين
city_184	,	دير البلح	,	فلسطين
city_185	,	خان يونس	,	فلسطين
city_186	,	رفح	,	فلسطين
city_187	,	أوغندا	,	أوغندا
city_188	,	تركيا	,	تركيا
city_189	,	غينيا	,	غينيا
city_190	,	البحرين	,	البحرين

